category;article;title;price;discount_price;discount_sign;in_stock;description;brand;url_image
Подставки и крепления;1015332;Подставка/крепление DIGIS DSM21-44F;451;451;0;7;"Размеры (мм): 433x425x27; 400x400 мм; 400x300 мм; 400x200 мм; 300x400 мм; 300x300 мм; 300x200 мм; 200x400 мм; 200х300 мм; 200x200 мм; 200x100 мм; 100x200 мм; Регулировки: Наличие креплений VESA: 100x100 мм; Максимальное расстояние от стены (мм): 27; Минимальное расстояние от стены (мм): 27; Макс. нагрузка (кг): 50";DIGIS;http://mzimg.com/big/u1/fb6pjb6hlu1.jpg http://mzimg.com/big/11/fb6pjft1m11.jpg
Подставки и крепления;1055956;Подставка/крепление Vivanco WF 3220;931;698;1;2;"Размеры (мм): 225x217; 200x100 мм; 100x200 мм; 100x100 мм; 75x75 мм; Регулировки: Наличие креплений VESA: 50x50 мм; Макс. нагрузка (кг): 20; Макс. диагональ (""): 32; Мин. диагональ (""): 10; Тип: настенное крепление";Vivanco;http://magazilla.ru/jpg_zoom1/1055956.jpg
Подставки и крепления;1056073;Подставка/крепление Vivanco WTL 6;25848;21971;1;13;"Размеры (мм): 682x413x38; 600x400 мм; 500x400 мм; 400x400 мм; 400x300 мм; 400x200 мм; 300x400 мм; 300x300 мм; 300x200 мм; 200x400 мм; 200х300 мм; Наличие креплений VESA: 200x200 мм; отклонение; регулировка глубины; поворот; Регулировки: наклон; Максимальное расстояние от стены (мм): 412; Минимальное расстояние от стены (мм): 38";Vivanco;http://magazilla.ru/jpg_zoom1/1056073.jpg http://mzimg.com/big/s1/fczgdrjbas1.jpg http://mzimg.com/big/l1/fczgds0tul1.jpg
Проекционное оборудование;1003200328;"Проекционный экран Draper Luma 4:3 [Luma 305/120""]";8407;8407;0;3;;;http://magazilla.ru/jpg/784460.jpg
Проекционное оборудование;1007971;Проектор Acer A1500;50330;37748;1;13;"Вес (кг): 2.73; Габариты (мм): 98x315x214; поддержка 3D; датчик освещения; Обратная; Коррекция трапеции; Оптическое увеличение (x): 1.3; Фокусировка: ручная; 7.62; Диагональ изображения (м): 0.78 – Макс. растояние (м): 7.5; Мин. растояние (м): 1; Форматы изображения: 16:9, 16:10, 4:3; Разрешение (пикс): 1920x1080";Acer;http://magazilla.ru/jpg_zoom1/1007971.jpg http://mzimg.com/big/i1/faxpl1rpki1.jpg http://mzimg.com/big/91/faxplgux091.jpg http://mzimg.com/big/s1/faxplnvvvs1.jpg http://mzimg.com/big/w1/faygis51cw1.jpg http://mzimg.com/big/g1/faygk2xe3g1.jpg http://mzimg.com/big/m1/faygkaabzm1.jpg
Проекционное оборудование;1008435;Проектор NEC M303WS;50006;42505;1;6;"Вес (кг): 3.6; Габариты (мм): 97x368x286; поддержка 3D; Обратная; Коррекция трапеции; Фокусировка: ручная; Диагональ изображения (м): 1.52 – 3.81; Макс. растояние (м): 1.48; Мин. растояние (м): 0.56; Форматы изображения: 16:10, 4:3, 16:9; Разрешение (пикс): 1280x800; Динамическая контрастность: 10 000:1";NEC;http://magazilla.ru/jpg_zoom1/1008435.jpg http://mzimg.com/big/21/fayjoqyl821.jpg http://mzimg.com/big/81/fayjowq5y81.jpg http://mzimg.com/big/v1/fayjp5jjkv1.jpg http://mzimg.com/big/h1/fayjpcxkyh1.jpg http://mzimg.com/big/e1/fayjpjyd9e1.jpg
Проекционное оборудование;1009599452;"Проекционный экран Draper Premier [Premier 269/106""]";136947;136947;0;11;;;http://magazilla.ru/jpg/250669.jpg
Проекционное оборудование;1009670;Проектор InFocus IN128HDSTx;65450;49088;1;5;"Вес (кг): 2.3; Габариты (мм): 130x300x230; поддержка 3D; Обратная; Коррекция трапеции; Фокусировка: ручная; Диагональ изображения (м): 0.76 – 3.05; Макс. растояние (м): 3.1; Мин. растояние (м): 0.8; Форматы изображения: 16:9, 16:10, 4:3; Разрешение (пикс): 1920x1080; Динамическая контрастность: 15 000:1";InFocus;http://magazilla.ru/jpg_zoom1/1009670.jpg http://mzimg.com/big/n1/fayvm47j6n1.jpg http://mzimg.com/big/y1/fayvmb7v1y1.jpg http://mzimg.com/big/91/fayvmg98991.jpg http://mzimg.com/big/n1/fazmwgqtxn1.jpg
Проекционное оборудование;1009720;Проектор InFocus IN124STx;45141;38370;1;13;"Вес (кг): 2.3; Габариты (мм): 130x300x230; поддержка 3D; Обратная; Коррекция трапеции; Фокусировка: ручная; Диагональ изображения (м): 0.91 – 3.05; Макс. растояние (м): 3.1; Мин. растояние (м): 0.9; Форматы изображения: 4:3, 16:9, 16:10; Разрешение (пикс): 1024x768; Динамическая контрастность: 14 000:1";InFocus;http://magazilla.ru/jpg_zoom1/1009720.jpg http://mzimg.com/big/01/fazpexguq01.jpg http://mzimg.com/big/61/fazpf2r0z61.jpg http://mzimg.com/big/11/fazpf7whv11.jpg http://mzimg.com/big/11/fazpfcprq11.jpg
Проекционное оборудование;1009740;Проектор InFocus IN126STx;52252;52252;0;3;"Вес (кг): 2.3; Габариты (мм): 130x300x230; поддержка 3D; Обратная; Коррекция трапеции; Фокусировка: ручная; Диагональ изображения (м): 0.79 – 3.05; Макс. растояние (м): 3.1; Мин. растояние (м): 0.8; Форматы изображения: 16:10, 4:3; Разрешение (пикс): 1280x800; Динамическая контрастность: 14 000:1; Яркость (лм): 3700";InFocus;http://magazilla.ru/jpg_zoom1/1009740.jpg http://mzimg.com/big/31/fazpco62731.jpg http://mzimg.com/big/i1/fazpcvx8si1.jpg http://mzimg.com/big/z1/fazpdhngyz1.jpg http://mzimg.com/big/71/fazpdombh71.jpg
